uuid,walk_group
f4e0ae18-99d4-5430-ab12-5da873bcaa3b,BAY
ff32c04a-77fe-5f74-8300-e91008365f59,CITY
36ca1a2e-04f8-5eb3-a821-5170254b14d7,BAY
d9cb1ef7-90a9-598c-a0fd-8d947adc15dd,LOCAL
df987c9b-9810-5bfb-85de-5199a3e752d4,BAY
86dcbe7f-43a7-5ef6-b6dd-4363bf9cd0f2,BAY
afa8ff74-50b8-527c-9c0e-e22d4e8b254d,LOCAL
4160ac90-ddcc-5224-9be0-57d45ec16bbb,SFO
b62efd4b-dd61-5fa4-acda-46623b2ade23,SFO
4d5d9efc-bfeb-5a7a-a80f-fe6f40bfff46,SFO
e3796db7-9e89-5fe7-819a-4716a8b4d255,SFO
1ebe4c53-8552-5b19-880e-7efbd0ad2a0c,SFO
de1b6440-f967-5bcc-85f2-f3e4f57537d2,SFO
ca495cc2-91e4-5b0e-8b3b-2343067b7cbb,SFO
0326d62c-672c-51b7-a263-d5e76eb9f0a4,SFO
07bfff3c-72f5-57b2-9730-09fe586e0a65,SFO
759e45f0-3718-52f3-9dc5-651574c48387,SFO
31e906ee-b544-5b93-8574-8fa9c196395e,SFO
73979b25-d98b-51ea-8e07-7d0b9329207a,SFO
2aad1747-f7fc-58a9-a6c3-8ad744424513,SFO
cab99747-0af9-52eb-9227-9f45606b27a9,SFO
a590fd37-d89b-5976-a07b-4323ad798c8b,SFO
17243962-d814-5b17-9bf8-dc048c3c33ff,SFO
8b63eef0-52d0-5161-9c8f-bde3eae4976d,SFO
b69092f3-554f-5646-b0c6-577c778f11ef,SFO
633dea78-f9ba-5c17-94cf-eb7a650265b2,SHL
7548147d-741a-5268-b6fd-36d83a7e16f3,LOCAL
52644bd5-2feb-5295-8e69-63d6befd24f9,NEW
ee4f7df9-f6a8-52b5-9687-ac4b98648c7b,ACT
a67d2485-83fe-5262-89e5-7add32c117cf,SYD
f36807e0-7f90-5ce7-a8f8-65235dd29e41,BAY
9cbe4949-1951-5a53-b013-f083afe53348,BAY
c48a781c-f06b-5492-be97-db35ab2070a9,BAY
7919b8cc-88da-5ec2-8456-a30dd30bc4d0,BAY
832c7854-3ea6-529b-883c-31fe46af5717,BAY
abdfca0a-cc4f-5ad0-8840-b2a0deec60cf,BLUE
cedfe01f-8b15-5285-994c-44f44ebd4f2a,BAY
b5ab7243-8140-52bd-bfd7-965eeaa3c962,BAY
d7f0b8bb-ec74-5275-b8e6-623110a4d94d,BAY
9a49b2d8-0e3f-5475-b0af-aecd77f1343c,BAY
64e863b8-8235-5ecd-bf09-ff334c993b07,BAY
739e2c17-9cad-57b9-b5aa-b3d1c59d0f76,NEW
a89f64c3-7e07-5ffe-8198-7daabaa12f63,BAY
931d8d19-3e69-5750-96d1-151069af597e,NEW
d7b7a480-025b-59c3-8b81-9ba3cbf2fbbb,LOCAL
282807a4-78ae-5bdc-8d24-756d1d3eaef0,BAY
1f69b9a5-32ce-562d-a32f-6f7dbf0d4334,SYD
5eb1b38a-fb19-53e7-b334-eefcb0fa9eb0,HHILL
e08894f1-c899-507f-ac37-9484a1abfefd,BAY
c85cf92d-ce42-5058-b91e-2887834578f5,CITY
c93bcf11-fe4f-5d90-94d5-930ff547403e,HHILL
146efa1a-6f87-5dcb-a7bd-ecc6e3e9e101,CITY
74675520-0c12-5b74-8a88-b47d0df9a82a,LOCAL
f921e821-6330-5164-9837-5e0276a9d223,LOCAL
dc32b866-0b98-5ab4-a9af-2f3815051637,SYD
b55a98ec-d1dd-5100-9aa8-a43cd5faa039,LOCAL
3610416d-90e5-5afa-9abf-d79d8446b250,CITY
c168b405-07a1-5d01-8873-48d0f5f34580,CITY
32e9eeff-b0d4-5509-8831-9fbbb129a58f,SYD
d6a4bfaf-e07b-5492-9c09-089a4c82e2ae,BAY
a671c8ae-380c-5c82-aeb8-22c0532ac3c9,CITY
ab3222cc-b027-54e7-8292-57898e165e13,NOT
05a6c787-43e8-5a9d-8ff6-637506fbaf90,BAY
d93bb27d-0221-5a8c-818d-3d03a7606a17,LOCAL
c288dbd8-97ae-5625-bf6f-26207e2cbc84,NOT
50e0a583-537b-5f34-9497-f920f3ca2faa,SHL
2d753494-97cf-585f-a347-d8a48dee336c,SHL
93e37c2c-c35d-5284-b1cf-b24df19c50f7,GNW
bd4de9a8-86b3-577e-9059-f274f8d8a601,CITY
f9383038-151f-5a71-9150-54d741a97bfc,BAY
698a912b-68e4-528d-b878-3d1695365856,GNW
86d06f13-37ed-56da-9cf5-30de1cfee759,LOCAL
daccb8f5-a3e3-5752-b7d0-48b7cf9669d6,GNW
d69ff098-71d6-558f-8573-60cfff44ba77,GNW
76958479-7793-5bc3-9fe3-e170b6ea134e,AUCK
ff6fdfcf-244d-54ab-a579-d3da88e72149,HAH
cc6cc64c-131f-58bc-a580-61ee232a5dec,HAH
d59b1021-000c-554b-9767-bbde8a88a0c9,NZN
58195c2f-28b0-5d60-b567-aaeec6e8b322,NZN
93e7e6b2-c2e8-51fb-9495-8c470bfbd585,NZN
f9689df0-f1f1-5ec1-bd2e-6b9aa419df5f,NZN
2a4b8dd9-2f3b-5df6-95c2-cb758a8d8903,NZN
7f65fc35-040b-5ece-bbf4-cf360f0d8e1e,NZN
fe7618fd-6097-594c-8221-3dad47267e7d,NZN
bc0d889c-eab4-54a3-af7e-d25840cde438,NZN
a78370eb-e511-53c2-87b3-f1058dc1ec51,NZN
99cb693b-46ad-5fcf-be20-375fcd0376a9,CCH
ab04eed2-f63d-5a09-ae5e-c0d7914b0057,CCH
13d75fdb-fdaf-53fd-9cd6-a19164ec24f5,HMRS
181b0ca5-2241-5752-9b02-1996508c3904,CCH
